id,state,county,total_votes,dem_votes,rep_votes,dem_share
1,PA,Erie County,127691,75775,50351,60.08
2,PA,Bradford County,25787,10306,15057,40.64
3,PA,Tioga County,17984,6390,11326,36.07
4,PA,McKean County,15947,6465,9224,41.21
5,PA,Potter County,7507,2300,5109,31.04
6,PA,Wayne County,22835,9892,12702,43.78
7,PA,Susquehanna County,19286,8381,10633,44.08
8,PA,Warren County,18517,8537,9685,46.85
9,OH,Ashtabula County,44874,25027,18949,56.94
10,OH,Lake County,121335,60155,59142,50.46
11,PA,Crawford County,38134,16780,20750,44.71
12,OH,Lucas County,219830,142852,73706,65.99
13,OH,Fulton County,21973,9900,11689,45.88
14,OH,Geauga County,51102,21250,29096,42.23
15,OH,Williams County,18397,8174,9880,45.26
16,PA,Wyoming County,13138,5985,6983,46.15
17,PA,Lackawanna County,107876,67520,39488,63.1
18,PA,Elk County,14271,7290,6676,52.2
19,PA,Forest County,2444,1038,1366,43.18
20,PA,Venango County,23307,9238,13718,40.24
21,OH,Erie County,41229,23148,17432,57.01
22,OH,Wood County,65022,34285,29648,53.61
23,PA,Cameron County,2245,879,1323,39.92
24,PA,Pike County,24284,11493,12518,47.87
25,PA,Lycoming County,49237,18381,30280,37.77
26,PA,Sullivan County,3120,1233,1841,40.11
27,OH,Lorain County,146859,85276,59068,59.1
28,OH,Trumbull County,106911,64145,40164,61.48
29,PA,Mercer County,53821,26411,26565,49.85
30,OH,Henry County,14840,6320,8239,43.43
31,PA,Clinton County,14791,7097,7504,48.61
32,PA,Clarion County,17766,6756,10737,38.62
33,PA,Luzerne County,135175,72492,61127,54.25
